naslov,cena,starost,proizvajalec,letnik,velikost okvirja,material,velikost obročev,dolžina opisa,kategorija,posodobljeno,ogledi
Capra Core 2 2023,1.800 €,Rabljeno,YT,2023,L,Aluminij,29 col,407,Enduro kolesa,09.10.2025,47
COMMENCAL CLASH RIDE 2021 LARGE,2.300 €,Rabljeno,Commencal,2021,L,Aluminij,27.5 col (650b),1240,Enduro kolesa,26.09.2025,242
specialized status,1.200 €,Rabljeno,Specialized,2020,L,Aluminij,Mullet (29 in 27.5),462,Enduro kolesa,28.09.2025,276
Bergamont roxter 8.0,550 €,Rabljeno,Bergamont,2020,S,Aluminij,27.5 col (650b),97,Prednje vzmetena / XC kolesa,06.09.2025,129
Lapierre Spicy 7.9,2.300 €,Rabljeno,Lapierre,2020,M,Karbon,29 col,650,Enduro kolesa,16.09.2025,62
Lapierre Spicy 327,850 €,Rabljeno,Lapierre,2017,M,Aluminij,27.5 col (650b),157,Enduro kolesa,09.09.2025,112
Scot spark 970,990 €,Rabljeno,Scott,2022,M,Aluminij,29 col,123,Trail in All-Mountain kolesa,23.09.2025,119
Trek Marlin 7,600 €,Rabljeno,Trek,2021,M,Aluminij,29 col,318,Prednje vzmetena / XC kolesa,11.10.2025,417
Scott ransom 930,1.450 €,Rabljeno,Scott,2020,M,Aluminij,29 col,201,Enduro kolesa,27.08.2025,219
Commencal supreme 6.30,600 €,Rabljeno,Commencal,2014,M,Aluminij,26 col,366,Enduro kolesa,24.09.2025,124
Focus Raven 6.0,400 €,Rabljeno,Focus,2013,M,Karbon,26 col,299,Prednje vzmetena / XC kolesa,08.10.2025,491
Specialized enduro L,900 €,Rabljeno,Specialized,2014,L,Aluminij,26 col,772,Enduro kolesa,04.10.2025,27
Trail polnovzmeteno kolo Radon Slide trail 9.0 2022 XL,1.800 €,Rabljeno,Ostalo,2022,XL,Karbon,29 col,305,Trail in All-Mountain kolesa,01.10.2025,309
STEVENS Sonora ES DI2 (2017),1.000 €,Rabljeno,Ostalo,2017,Rabljeno,Karbon,29 col,639,Trail in All-Mountain kolesa,05.10.2025,147
GT avalanche expert,600 €,Rabljeno,GT,2020,M,Aluminij,29 col,759,Prednje vzmetena / XC kolesa,27.09.2025,189
Kellys Gibon 50 29 L 2023,990 €,Rabljeno,Ostalo,2023,L,Aluminij,29 col,401,Prednje vzmetena / XC kolesa,20.09.2025,817
Slovenska Bistrica,160 €,Rabljeno,Canyon,2016,S,Aluminij,26 col,74,Trail in All-Mountain kolesa,12.09.2025,105
Trek seesion carbon 9.9,800 €,Rabljeno,Trek,2016,L,Karbon,26 col,510,Downhill in Freeride kolesa,17.09.2025,235
giant stance 2,900 €,Rabljeno,Giant,2020,L,Aluminij,29 col,105,Enduro kolesa,11.10.2025,720
Specialized enduro carbon elite,1.499 €,Rabljeno,Specialized,2018,M,Karbon,27.5 col (650b),569,Enduro kolesa,15.09.2025,200
Commencal supreme dh,1.100 €,Rabljeno,Commencal,2013,M,Jeklo,26 col,233,Downhill in Freeride kolesa,22.07.2025,556
Fuji Nevada M,500 €,Rabljeno,Fuji,2021,M,Aluminij,27.5 col (650b),407,Prednje vzmetena / XC kolesa,23.08.2025,414
specialized enduro,2.550 €,Rabljeno,Specialized,2024,XL,Karbon,29 col,200,Enduro kolesa,30.09.2025,307
Giant Trance 2,1.100 €,Rabljeno,Giant,2019,L,Aluminij,27.5 col (650b),648,Enduro kolesa,25.08.2025,395
Santa cruz v10,2.100 €,Rabljeno,Santa Cruz,2014,M,Karbon,27.5 col (650b),227,Downhill in Freeride kolesa,08.08.2025,387
Scott Genius 950,1.850 €,Rabljeno,Scott,2022,M,Aluminij,29 col,149,Enduro kolesa,27.09.2025,57
Cube Stereo one55 cf pro race enduro downhill,2.000 €,Rabljeno,Cube,2023,L,Karbon,29 col,283,Enduro kolesa,25.07.2025,251
Lapierre zesty am 7.9 2022 XL,2.000 €,Rabljeno,Lapierre,2022,XL,Karbon,29 col,162,Trail in All-Mountain kolesa,06.10.2025,24
bulls duro 29,1.600 €,Rabljeno,Ostalo,2024,L,Aluminij,29 col,620,Trail in All-Mountain kolesa,12.09.2025,30
fuji nevada,450 €,Rabljeno,Fuji,2020,L,Aluminij,29 col,78,Gorska kolesa,09.09.2025,324
Santa Cruz Nomad C 2018,2.050 €,Rabljeno,Santa Cruz,2018,L,Karbon,27.5 col (650b),1021,Enduro kolesa,28.09.2025,93
Scott Genius ST Tuned,4.250 €,Rabljeno,Scott,2023,L,Karbon,29 col,722,Trail in All-Mountain kolesa,21.08.2025,690
Prodam merida ONE-SIXTY 6000,3.650 €,Rabljeno,Merida,2024,M,Karbon,Mullet (29 in 27.5),1573,Trail in All-Mountain kolesa,18.08.2025,174
YT Capra core 1,1.900 €,Rabljeno,YT,2023,L,Aluminij,Mullet (29 in 27.5),790,Enduro kolesa,05.09.2025,224
GIANT FATHOM 2,Po dogovoru,Rabljeno,Giant,2019,M,Aluminij,29 col,140,Prednje vzmetena / XC kolesa,20.08.2025,211
Röllmar,100 €,Rabljeno,Ostalo,2017,Univerzalna velikost,Jeklo,26 col,330,Prednje vzmetena / XC kolesa,29.09.2025,211
Cube AMS 100 c68 TM 29,1.850 €,Rabljeno,Cube,2021,S,Karbon,29 col,144,Prednje vzmetena / XC kolesa,01.10.2025,168
"Giant Reign 29 2, 2021, (L) + oprema",1.900 €,Rabljeno,Giant,2021,L,Aluminij,29 col,369,Enduro kolesa,26.08.2025,201
Cube Stereo 150 C:62 Action Team 2021 29 col - air + coil,2.000 €,Rabljeno,Cube,2021,L,Karbon,29 col,942,Trail in All-Mountain kolesa,12.10.2025,270
Enduro giant trance,900 €,Rabljeno,Giant,2016,M,Aluminij,27.5 col (650b),289,Enduro kolesa,05.10.2025,613
Giant reign 2,1.250 €,Rabljeno,Giant,2017,M,Aluminij,27.5 col (650b),743,Enduro kolesa,17.09.2025,132
Gorsko kolo Scott Contesa Spark 920 EU 22,2.000 €,Rabljeno,Scott,2022,M,Karbon,29 col,105,Gorska kolesa,12.09.2025,56
TREK REMEDY 7,1.700 €,Rabljeno,Trek,2021,M,Aluminij,27.5 col (650b),520,Enduro kolesa,09.08.2025,336
"Trek, session 8",850 €,Rabljeno,Trek,2016,M,Aluminij,26 col,53,Downhill in Freeride kolesa,15.07.2025,231
giant trance 2017,1.550 €,Rabljeno,Giant,2017,L,Aluminij,27.5 col (650b),86,Enduro kolesa,07.08.2025,241
Scott Spark RC World Cup EVO 2024,5.000 €,Rabljeno,Scott,2024,L,Karbon,29 col,210,Prednje vzmetena / XC kolesa,01.09.2025,121
Commencal sx4 2022,1.800 €,Rabljeno,Commencal,2022,M,Aluminij,Mullet (29 in 27.5),223,Enduro kolesa,05.08.2025,258
Trek Remedy 8 XT Large (2021),1.900 €,Rabljeno,Trek,2021,L,Aluminij,27.5 col (650b),532,Trail in All-Mountain kolesa,16.07.2025,145
Merida One-Forty 500,1.600 €,Rabljeno,Merida,2024,M,Aluminij,29 col,458,Trail in All-Mountain kolesa,11.10.2025,4
Specialized gorsko kolo,490 €,Rabljeno,Specialized,2024,M,Aluminij,29 col,147,Prednje vzmetena / XC kolesa,10.10.2025,216
GIANT TRANCE 3,1.200 €,Rabljeno,Giant,2017,L,Aluminij,27.5 col (650b),701,Trail in All-Mountain kolesa,03.10.2025,499
Canyon,1.800 €,Rabljeno,Canyon,2023,M,Karbon,27.5 col (650b),208,Enduro kolesa,12.09.2025,355
SCOTT  ASPECT 770. M,300 €,Rabljeno,Scott,2022,M,Aluminij,27.5 col (650b),159,Prednje vzmetena / XC kolesa,11.08.2025,139
Giant Stance 2021,1.000 €,Rabljeno,Giant,2021,M,Aluminij,29 col,882,Trail in All-Mountain kolesa,27.07.2025,448
"Santa Cruz Hightower C S kit, L velikost",3.100 €,Rabljeno,Santa Cruz,2021,L,Karbon,29 col,330,Trail in All-Mountain kolesa,20.08.2025,377
"Bold unplugged ultimate, velikost M",2.975 €,Rabljeno,Ostalo,2024,M,Karbon,Mullet (29 in 27.5),219,Enduro kolesa,24.09.2025,512
Scott Spark 950,1.000 €,Rabljeno,Scott,2019,M,Aluminij,29 col,269,Trail in All-Mountain kolesa,06.10.2025,90
Merida One Twenty 400 prodam/menjam za dirt jumperja,1.300 €,Rabljeno,Merida,2023,L,Aluminij,29 col,127,Trail in All-Mountain kolesa,02.10.2025,254
Nukeproof Scout race 290,950 €,Rabljeno,Nukeproof,2023,L,Aluminij,29 col,1648,Trail in All-Mountain kolesa,02.10.2025,320
Gorsko kolo Scott Ransom 920 23 XL,1.800 €,Rabljeno,Scott,2023,XL,Aluminij,29 col,98,Trail in All-Mountain kolesa,01.08.2025,98
Scott Voltage JR 24,150 €,Rabljeno,Scott,2018,Univerzalna velikost,Aluminij,24 col,77,Prednje vzmetena / XC kolesa,01.09.2025,164
Scott Genius 950 XL 2021,1.500 €,Rabljeno,Scott,2021,XL,Aluminij,29 col,447,Enduro kolesa,15.07.2025,227
"Nukeproof Mega Expert 29"" - Lyrik / Super Deluxe, DT Swiss EX511, 1x12 Eagle, Michelin,...",1.590 €,Rabljeno,Nukeproof,2021,M,Aluminij,29 col,590,Enduro kolesa,26.09.2025,301
Yeti SB 165 t L top stanje,2.600 €,Rabljeno,Yeti,2022,L,Karbon,27.5 col (650b),816,Enduro kolesa,11.10.2025,55
Scott Scale 970,750 €,Rabljeno,Scott,2021,L,Aluminij,29 col,591,Prednje vzmetena / XC kolesa,05.09.2025,300
Trek Remedy 2021 S 27.5,2.100 €,Rabljeno,Trek,2021,S,Aluminij,27.5 col (650b),313,Enduro kolesa,16.09.2025,542
Liv Intrigue 2020 2 S,1.590 €,Rabljeno,Giant,2020,S,Aluminij,27.5 col (650b),170,Trail in All-Mountain kolesa,27.08.2025,139
Prodam kolo Scott,Po dogovoru,Rabljeno,Scott,2022,L,Aluminij,29 col,52,Enduro kolesa,15.07.2025,76
MARIN RIFT ZONE 1 29 S velikost,1.600 €,Novo,Marin,2024,S,Aluminij,29 col,368,Trail in All-Mountain kolesa,20.07.2025,192
Orbea Occam H20 Eagle,2.000 €,Rabljeno,Orbea,2021,M,Aluminij,29 col,350,Trail in All-Mountain kolesa,25.09.2025,43
Scott Ransom 930 2021 XL,1.700 €,Rabljeno,Scott,2021,XL,Aluminij,29 col,282,Enduro kolesa,04.09.2025,189
Trek X-Caliber 8 M/L 2019,650 €,Rabljeno,Trek,2019,L,Aluminij,29 col,2188,Prednje vzmetena / XC kolesa,21.08.2025,229
Giant Stance 2 29er 2020 M,1.190 €,Rabljeno,Giant,2020,M,Aluminij,29 col,295,Trail in All-Mountain kolesa,22.08.2025,691
Rocky Mountain Instinct Alloy 70 BC Edition,1.900 €,Rabljeno,Ostalo,2020,XL,Aluminij,29 col,1093,Enduro kolesa,04.08.2025,79
Scott genius st 910,3.000 €,Rabljeno,Scott,2024,L,Karbon,29 col,251,Enduro kolesa,01.09.2025,150
Trek session 8,1.000 €,Rabljeno,Trek,2014,M,Aluminij,26 col,111,Downhill in Freeride kolesa,12.08.2025,238
Lombardo sestriere 500,350 €,Rabljeno,Ostalo,2019,M,Aluminij,26 col,182,Prednje vzmetena / XC kolesa,08.10.2025,55
Canyon,1.800 €,Rabljeno,Canyon,2023,M,Aluminij,29 col,52,Trail in All-Mountain kolesa,10.10.2025,76
YT INDUSTRIES TUES,1.500 €,Rabljeno,YT,2015,M,Aluminij,27.5 col (650b),891,Downhill in Freeride kolesa,11.10.2025,554
Cube steteo one 22 hpc,2.300 €,Rabljeno,Cube,2024,M,Karbon,29 col,161,Trail in All-Mountain kolesa,15.09.2025,74
TREK SESSION,Po dogovoru,Rabljeno,Trek,2023,L,Aluminij,Mullet (29 in 27.5),273,Downhill in Freeride kolesa,09.10.2025,74
scott aspect 755,300 €,Rabljeno,Scott,2017,XS,Aluminij,27.5 col (650b),168,Prednje vzmetena / XC kolesa,07.10.2025,11
Intense tracer 279 S,3.500 €,Rabljeno,Intense,2023,M,Karbon,Mullet (29 in 27.5),605,Enduro kolesa,29.09.2025,254
specialized enduro,600 €,Rabljeno,Specialized,2014,S,Aluminij,20 col,252,Enduro kolesa,05.09.2025,122
Giant,850 €,Rabljeno,Giant,2024,M,Jeklo,27.5 col (650b),80,Gorska kolesa,21.07.2025,73
Focus Whistler pro 29,390 €,Rabljeno,Focus,2017,L,Aluminij,29 col,618,Prednje vzmetena / XC kolesa,03.08.2025,325
SPECIALIZED STUMPJUMPER,799 €,Rabljeno,Specialized,2016,M,Aluminij,27.5 col (650b),197,Enduro kolesa,04.10.2025,15
Yt wicked,750 €,Rabljeno,YT,2014,M,Aluminij,27.5 col (650b),153,Enduro kolesa,27.09.2025,166
Canyon Sender CF 9.0 Team,1.850 €,Rabljeno,Canyon,2019,L,Karbon,27.5 col (650b),278,Downhill in Freeride kolesa,01.10.2025,395
"Gorsko kolo SCOTT Aspect FX 25, vel. S, 26 col polnovzmeten ODLIČEN",400 €,Rabljeno,Scott,Neznan,S,Aluminij,26 col,383,Gorska kolesa,26.08.2025,133
Orange Stage 6,1.050 €,Rabljeno,Orange,2018,L,Aluminij,29 col,1090,Enduro kolesa,15.09.2025,91
Giant reign 1 2023 (L),2.900 €,Rabljeno,Giant,2023,L,Aluminij,29 col,255,Enduro kolesa,23.08.2025,126
Orbea occam m30 sl,1.800 €,Rabljeno,Orbea,2023,L,Karbon,29 col,699,Trail in All-Mountain kolesa,04.10.2025,511
Dartmoor Hornet,1.100 €,Rabljeno,Ostalo,Neznan,L,Aluminij,Mullet (29 in 27.5),356,Prednje vzmetena / XC kolesa,26.08.2025,964
"SANTA CRUZ 5010 v5, velikost L",3.200 €,Rabljeno,Santa Cruz,2024,L,Karbon,Mullet (29 in 27.5),786,Trail in All-Mountain kolesa,30.09.2025,474
Mondraker dune,1.500 €,Rabljeno,Mondraker,2019,XL,Aluminij,20 col,55,Downhill in Freeride kolesa,10.10.2025,67
Cannondale Trigger 29 1,1.100 €,Rabljeno,Cannondale,2015,L,Aluminij,29 col,787,Enduro kolesa,31.08.2025,105
FOCUS Raven lite,850 €,Rabljeno,Focus,2019,M,Karbon,29 col,138,Prednje vzmetena / XC kolesa,10.10.2025,107
Cube Elite One C:62,2.070 €,Rabljeno,Cube,2022,Rabljeno,Karbon,Rabljeno,543,Prednje vzmetena / XC kolesa,11.10.2025,7
Specialized stumpjumper expert carbon XL,2.500 €,Rabljeno,Specialized,2020,XL,Karbon,29 col,66,Trail in All-Mountain kolesa,21.08.2025,279
Giant Terrago XC29,Po dogovoru,Rabljeno,Giant,Neznan,M,Aluminij,29 col,166,Prednje vzmetena / XC kolesa,20.08.2025,176
Scott Genius LT 720 Plus 2016,1.000 €,Rabljeno,Scott,2016,M,Aluminij,27.5 col (650b),153,Enduro kolesa,15.09.2025,125
Orbea LAUFEY XL,1.000 €,Rabljeno,Orbea,2023,XL,Aluminij,29 col,188,Trail in All-Mountain kolesa,04.08.2025,215
Focus Jam 6.7,1.200 €,Rabljeno,Focus,2021,XL,Aluminij,29 col,522,Trail in All-Mountain kolesa,07.08.2025,664
Scott Contessa Ransom 910 2023,1.950 €,Rabljeno,Scott,2023,S,Karbon,29 col,626,Enduro kolesa,30.09.2025,43
ORBEA OCCAM M30 LT,2.200 €,Rabljeno,Orbea,2024,M,Karbon,29 col,481,Trail in All-Mountain kolesa,30.08.2025,148
GT FURY EXPERT M 2020,1.800 €,Rabljeno,GT,2020,M,Karbon,27.5 col (650b),1236,Downhill in Freeride kolesa,07.10.2025,64
Specialized Status,1.700 €,Rabljeno,Specialized,2023,M,Aluminij,Mullet (29 in 27.5),44,Enduro kolesa,09.10.2025,147
Specialized Rockhopper 29 M – Shimano Deore XT,450 €,Rabljeno,Specialized,2017,M,Aluminij,29 col,694,Gorska kolesa,12.10.2025,341
Scott scale 910 l.2024,3.700 €,Rabljeno,Scott,2024,L,Karbon,29 col,189,Prednje vzmetena / XC kolesa,07.10.2025,157
Trek x calibur 8 2018,450 €,Rabljeno,Trek,2018,L,Aluminij,29 col,154,Prednje vzmetena / XC kolesa,07.10.2025,45
Nakamura Catch,460 €,Rabljeno,Nakamura,2023,M,Aluminij,29 col,225,Trail in All-Mountain kolesa,25.08.2025,64
scott contessa active,550 €,Rabljeno,Scott,2019,L,Aluminij,29 col,72,Prednje vzmetena / XC kolesa,01.10.2025,37
Ibis ripmo af,2.100 €,Rabljeno,Ibis,2021,XL,Aluminij,29 col,571,Enduro kolesa,09.09.2025,67
Scott Scale 965,850 €,Rabljeno,Scott,2023,M,Aluminij,29 col,576,Prednje vzmetena / XC kolesa,23.09.2025,61
Ghost Lector 3.9,870 €,Rabljeno,Ghost,2019,M,Karbon,29 col,608,Prednje vzmetena / XC kolesa,26.09.2025,524
Scott spark 970,1.500 €,Rabljeno,Scott,2024,L,Aluminij,29 col,105,Prednje vzmetena / XC kolesa,30.09.2025,104
Specialized Epic Evo Expert,2.490 €,Rabljeno,Specialized,2022,L,Karbon,29 col,1096,Prednje vzmetena / XC kolesa,02.10.2025,193
"2022 Trek Slash 8 XL 29""",1.990 €,Rabljeno,Trek,2022,XL,Aluminij,29 col,940,Enduro kolesa,26.09.2025,64
Rose Rute Muller 2,1.799 €,Rabljeno,Ostalo,2023,M,Aluminij,29 col,728,Enduro kolesa,26.08.2025,72
Lee Cougan Rampage Innova 2024,3.300 €,Rabljeno,Ostalo,2024,M,Karbon,29 col,458,Prednje vzmetena / XC kolesa,22.08.2025,415
Trek Slash 8,2.199 €,Rabljeno,Trek,2022,M,Aluminij,29 col,961,Enduro kolesa,08.10.2025,259
Transition Sentinel ALU,2.400 €,Rabljeno,Transition,2022,XL,Aluminij,29 col,649,Enduro kolesa,13.08.2025,223
"Btwin, rockrider520, v super stanju, S velikost",150 €,Rabljeno,Ostalo,2017,S,Aluminij,27.5 col (650b),124,Gorska kolesa,22.07.2025,195
"Specialized Stumpjumper 27,5",1.500 €,Rabljeno,Specialized,2019,L,Aluminij,27.5 col (650b),394,Enduro kolesa,17.08.2025,225
Gorsko kolo Cube STEREO 120 Race - Shimano oprema - vzmetenje FOX - 29 colsko,700 €,Rabljeno,Cube,2018,M,Aluminij,29 col,198,Enduro kolesa,16.09.2025,247
Gorsko kolo YT Capra 2018 (XXL),1.800 €,Rabljeno,YT,2018,XXL,Aluminij,27.5 col (650b),487,Enduro kolesa,15.09.2025,37
Cannondale Trail SL 4,800 €,Rabljeno,Cannondale,2022,XL,Aluminij,29 col,1412,Prednje vzmetena / XC kolesa,08.08.2025,643
Specialized rockhopper expert 29,230 €,Rabljeno,Specialized,2017,M,Aluminij,29 col,111,Prednje vzmetena / XC kolesa,29.09.2025,63
Specialized stumpjumper,690 €,Rabljeno,Specialized,2012,M,Aluminij,26 col,210,Trail in All-Mountain kolesa,29.09.2025,329
GIANT TRANCE 2019,990 €,Rabljeno,Giant,2019,M,Aluminij,27.5 col (650b),139,Enduro kolesa,01.09.2025,180
Scott Aspect 740 (2022),600 €,Rabljeno,Scott,2022,S,Aluminij,27.5 col (650b),285,Prednje vzmetena / XC kolesa,06.09.2025,47
Giant trance 2 2016,900 €,Rabljeno,Giant,2016,M,Aluminij,27.5 col (650b),274,Gorska kolesa,28.07.2025,924
Orbea Rallon M-TEAM,3.100 €,Rabljeno,Orbea,2023,L,Karbon,29 col,504,Enduro kolesa,26.09.2025,033
Specialized Enduro Comp 2014,600 €,Rabljeno,Specialized,2014,L,Aluminij,26 col,230,Enduro kolesa,14.07.2025,706
Žensko Allmountain Lapierre Zesty 327 AM W velikost L,800 €,Rabljeno,Lapierre,2017,L,Aluminij,27.5 col (650b),212,Trail in All-Mountain kolesa,05.09.2025,196
TREK Remedy 8 2015,800 €,Rabljeno,Trek,2015,L,Aluminij,29 col,189,Enduro kolesa,12.10.2025,8
